id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1;TINTAS;TINTAS;56.976,00;43.390,00;4.428,00;8.939,00;125.563,00;183.731,00;88.512,00;113.591,00;107.994,00;160.889,00;68.763,00;55.774,00;27.910,00;8.154,00;5.970,00;17.553,00;7.352,00;12.670,00;58.681,00;441.541,00;157.262,00;104.326,00;94.021,00;0,00;3.852.587,00;80.197,00;1.389.173,00;374.934,00;21.638,00;480,00;13.877,00;23.660,00;23.239,00;7.366,00;49.698,00;49.820,00;36.105,00;66.970,00;101.101,00;84.397,00;31.771,00;89.305,00;145.132,00;75.362,00;65.850,00;108.797,00;51.310,00;85.510,00;62.567,00;0,00;63.474,00;21.732,00;0,00;175.030,00
2;ti_ Alphonse Lavallee; Alphonse Lavallee;31.878,00;2.333,00;170,00;7.690,00;124.762,00;74.293,00;23.684,00;24.430,00;17.339,00;88.822,00;23.451,00;12.094,00;7.662,00;2.989,00;4.380,00;17.553,00;5.147,00;12.670,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.613,00;0,00;0,00;0,00;1.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;25.098,00;41.057,00;4.258,00;1.249,00;801,00;109.438,00;64.828,00;89.161,00;90.655,00;72.067,00;45.312,00;43.680,00;20.248,00;5.165,00;1.590,00;0,00;2.205,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.877,00;20.047,00;23.239,00;7.366,00;49.698,00;48.320,00;36.105,00;66.970,00;101.101,00;84.397,00;31.771,00;89.305,00;145.132,00;75.362,00;65.850,00;108.797,00;51.310,00;85.510,00;62.567,00;0,00;63.474,00;21.732,00;0,00;175.030,00
4;BRANCAS;BRANCAS;3.900,00;16.335,00;6.829,00;8.052,00;278.951,00;587.745,00;153.445,00;230.332,00;244.151,00;148.002,00;74.744,00;51.316,00;53.160,00;19.074,00;14.225,00;21.346,00;32.966,00;70.127,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;602.113,00;118.013,00;100.923,00;136.658,00;73.187,00;39.470,00;17.889,00;36.619,00;55.297,00;14.440,00;11.575,00;19.458,00;62.564,00;4.412,00;30.600,00;64.540,00;3.260,00;5.900,00;730,00;0,00;45.610,00;52.760,00;0,00;13.440,00
5;br_Cardinal; Cardinal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.235,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.620,00;0,00;0,00;4.610,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6;br_Golden Queen; Golden Queen;167,00;8.654,00;657,00;7.312,00;8.467,00;6.805,00;0,00;2.391,00;8.715,00;2.051,00;2.765,00;0,00;0,00;0,00;1.545,00;4.921,00;3.358,00;1.321,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7;br_Patrícia; Patrícia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.515,00;23.661,00;42.357,00;75.480,00;6.172,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8;br_Perlona; Perlona;0,00;0,00;4.027,00;0,00;1.695,00;1.223,00;1.406,00;0,00;0,00;11.377,00;10.722,00;14.467,00;13.971,00;4.948,00;10.735,00;10.548,00;10.753,00;64.694,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;581.598,00;94.352,00;58.566,00;61.178,00;33.155,00;32.105,00;14.569,00;25.899,00;37.376,00;11.335,00;10.375,00;5.575,00;9.695,00;3.378,00;850,00;3.280,00;290,00;180,00;730,00;0,00;0,00;1.710,00;0,00;0,00
9;br_Italia; Italia;3.733,00;7.681,00;2.145,00;740,00;268.789,00;579.717,00;152.039,00;227.941,00;235.436,00;134.574,00;59.022,00;36.849,00;39.189,00;14.126,00;1.945,00;5.877,00;18.855,00;4.112,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33.860,00;1.630,00;3.320,00;5.130,00;2.300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;br_Rubi (Itália Itália Ro); Rubi (Itália Itália Ro);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.115,00;0,00;5.590,00;11.011,00;3.105,00;1.200,00;13.883,00;52.869,00;1.034,00;29.750,00;61.260,00;2.970,00;5.720,00;0,00;0,00;45.610,00;51.050,00;0,00;13.440,00
